file_a,file_b,hamming,same_label,same_hive_proxy,crosses_fold0,crosses_fold1,crosses_fold2
C_002_002_20231012143034_001_002_000_000.jpg,C_010_023_20230904150743_001_010_000_000.jpg,4,1,0,0,0,0
C_002_002_20231012143034_001_002_000_000.jpg,C_011_024_20230904171915_001_011_000_000.jpg,4,1,0,1,1,0
C_002_003_20231013112430_001_002_000_000.jpg,C_003_001_20230912143836_001_003_000_000.jpg,4,1,0,0,1,1
C_002_003_20231013112430_001_002_000_000.jpg,C_007_012_20230912143808_001_007_000_000.jpg,4,1,0,0,0,0
C_002_003_20231013112430_001_002_000_000.jpg,C_009_018_20230912160822_001_009_000_000.jpg,4,1,0,1,0,1
C_002_003_20231013145014_001_002_000_000.jpg,C_006_011_20230904154859_001_006_000_000.jpg,4,1,0,1,1,0
C_002_003_20231013145014_001_002_000_000.jpg,C_010_023_20230904150743_001_010_000_000.jpg,4,1,0,0,0,0
C_002_003_20231013145014_001_002_000_000.jpg,C_011_024_20230904171915_001_011_000_000.jpg,4,1,0,1,1,0
C_002_025_20230826151602_001_001_000_000.jpg,C_004_004_20230906180407_001_004_000_000.jpg,4,1,0,0,0,0
C_002_027_20230826172608_001_001_000_000.jpg,C_007_013_20230904171926_001_007_000_000.jpg,4,1,0,1,0,1
C_003_001_20230831152203_001_003_000_000.jpg,C_006_009_20230831160908_001_006_000_000.jpg,4,1,0,0,1,1
C_003_001_20230831152203_001_003_000_000.jpg,C_006_011_20230830065228_001_006_000_000.jpg,4,1,0,0,0,0
C_003_001_20230831152203_001_003_000_000.jpg,C_008_015_20230831143330_001_008_000_000.jpg,2,1,0,0,1,1
C_003_001_20230831152203_001_003_000_000.jpg,C_009_019_20230831164757_001_009_000_000.jpg,4,1,0,0,0,0
C_003_001_20230831152203_001_003_000_000.jpg,C_010_023_20230831154905_001_010_000_000.jpg,4,1,0,0,0,0
C_003_001_20230904151906_001_003_000_000.jpg,C_005_007_20230904163451_001_005_000_000.jpg,2,1,0,0,0,0
C_003_001_20230904161612_001_003_000_000.jpg,C_010_023_20230904150743_001_010_000_000.jpg,4,1,0,1,0,1
C_003_001_20230908173155_001_003_000_000.jpg,C_004_006_20230908170408_001_004_000_000.jpg,4,1,0,0,1,1
C_003_001_20230912143836_001_003_000_000.jpg,C_005_007_20230829141407_001_005_000_000.jpg,4,1,0,0,1,1
C_003_001_20230912143836_001_003_000_000.jpg,C_007_012_20230912143808_001_007_000_000.jpg,4,1,0,0,1,1
C_003_001_20230912143836_001_003_000_000.jpg,C_009_018_20230912160822_001_009_000_000.jpg,4,1,0,1,1,0
C_003_001_20230912151133_001_003_000_000.jpg,C_009_018_20230902151804_001_009_000_000.jpg,4,1,0,0,1,1
C_003_003_20230827152628_001_003_000_000.jpg,C_007_014_20230827173525_001_007_000_000.jpg,4,1,0,0,1,1
C_003_003_20230827152628_001_003_000_000.jpg,C_009_018_20230827161240_001_009_000_000.jpg,4,1,0,0,1,1
C_003_003_20230827152628_001_003_000_000.jpg,C_012_029_20230827164055_001_012_000_000.jpg,2,1,0,1,0,1
C_003_003_20230904152616_001_003_000_000.jpg,C_005_007_20230904155644_001_005_000_000.jpg,2,1,0,1,1,0
C_003_003_20230904152616_001_003_000_000.jpg,C_010_021_20230825183624_001_010_000_000.jpg,4,1,0,1,1,0
C_003_003_20230912140142_001_003_000_000.jpg,C_004_004_20230902145722_001_004_000_000.jpg,4,1,0,0,1,1
C_003_003_20230912140142_001_003_000_000.jpg,C_004_004_20230912141507_001_004_000_000.jpg,4,1,0,0,1,1
C_003_003_20230912140142_001_003_000_000.jpg,C_006_010_20230902144918_001_006_000_000.jpg,2,1,0,0,0,0
C_004_004_20230826161427_001_004_000_000.jpg,C_007_013_20230904173847_001_007_000_000.jpg,4,1,0,0,1,1
C_004_004_20230902145722_001_004_000_000.jpg,C_006_010_20230902144918_001_006_000_000.jpg,2,1,0,0,1,1
C_004_004_20230906180407_001_004_000_000.jpg,C_006_011_20230827172315_001_006_000_000.jpg,4,1,0,0,0,0
C_004_004_20230906180407_001_004_000_000.jpg,C_007_014_20230827173525_001_007_000_000.jpg,4,1,0,0,1,1
C_004_004_20230912141507_001_004_000_000.jpg,C_007_012_20230912143808_001_007_000_000.jpg,4,1,0,0,1,1
C_004_004_20230912141507_001_004_000_000.jpg,C_007_014_20230828084412_001_007_000_000.jpg,4,1,0,1,1,0
C_004_004_20230912141507_001_004_000_000.jpg,C_009_018_20230912160822_001_009_000_000.jpg,4,1,0,1,1,0
C_004_005_20230829145027_001_004_000_000.jpg,C_012_029_20230829152726_001_012_000_000.jpg,4,1,0,0,0,0
C_004_005_20230906154436_001_004_000_000.jpg,C_004_006_20230906162831_001_004_000_000.jpg,4,1,0,1,1,0
C_004_005_20230906154436_001_004_000_000.jpg,C_009_020_20230906173439_001_009_000_000.jpg,4,1,0,1,1,0
C_004_005_20230912155811_001_004_000_000.jpg,C_005_009_20230911081343_001_005_000_000.jpg,4,1,0,1,0,1
C_004_005_20230912155811_001_004_000_000.jpg,C_007_013_20230912155731_001_007_000_000.jpg,2,1,0,1,0,1
C_004_005_20230912155811_001_004_000_000.jpg,C_009_020_20230902155721_001_009_000_000.jpg,4,1,0,0,1,1
C_004_005_20230912155811_001_004_000_000.jpg,C_010_023_20230912132715_001_010_000_000.jpg,4,1,0,0,0,0
C_004_005_20230912155811_001_004_000_000.jpg,C_011_024_20230902171213_001_011_000_000.jpg,4,1,0,0,1,1
C_004_006_20230824075645_001_004_000_000.jpg,C_005_008_20230829154347_001_005_000_000.jpg,4,1,0,0,0,0
C_004_006_20230828085128_001_004_000_000.jpg,C_009_019_20230825183547_001_009_000_000.jpg,4,1,0,0,0,0
C_004_006_20230906162831_001_004_000_000.jpg,C_009_020_20230906173439_001_009_000_000.jpg,4,1,0,0,0,0
C_004_006_20230908160411_001_004_000_000.jpg,C_011_024_20230908154218_001_011_000_000.jpg,4,1,0,1,1,0
C_005_006_20230910165454_001_005_000_000.jpg,C_011_025_20230902151844_001_011_000_000.jpg,4,1,0,1,0,1
C_005_007_20230904155644_001_005_000_000.jpg,C_010_021_20230825183624_001_010_000_000.jpg,4,1,0,0,0,0
C_005_008_20230829154347_001_005_000_000.jpg,C_011_024_20230829161109_001_011_000_000.jpg,4,1,0,0,0,0
C_005_008_20230831152245_001_005_000_000.jpg,C_008_015_20230830072850_001_008_000_000.jpg,4,1,0,0,0,0
C_005_009_20230911081343_001_005_000_000.jpg,C_006_012_20230912145754_001_006_000_000.jpg,4,1,0,1,1,0
C_005_009_20230911081343_001_005_000_000.jpg,C_007_013_20230912155731_001_007_000_000.jpg,4,1,0,0,0,0
C_005_009_20230911081343_001_005_000_000.jpg,C_009_020_20230902155721_001_009_000_000.jpg,4,1,0,1,1,0
C_006_009_20230831160908_001_006_000_000.jpg,C_006_011_20230830065228_001_006_000_000.jpg,4,1,0,0,1,1
C_006_009_20230831160908_001_006_000_000.jpg,C_008_015_20230831143330_001_008_000_000.jpg,2,1,0,0,0,0
C_006_009_20230831160908_001_006_000_000.jpg,C_009_019_20230831161950_001_009_000_000.jpg,4,1,0,1,0,1
C_006_009_20230831160908_001_006_000_000.jpg,C_010_023_20230831154905_001_010_000_000.jpg,4,1,0,0,1,1
C_006_010_20230825165936_001_006_000_000.jpg,C_008_016_20230910164031_001_008_000_000.jpg,4,1,0,1,0,1
C_006_010_20230831144344_001_006_000_000.jpg,C_011_024_20230831141736_001_011_000_000.jpg,4,1,0,0,0,0
C_006_010_20230902144918_001_006_000_000.jpg,C_012_029_20230907065031_001_012_000_000.jpg,4,1,0,0,0,0
C_006_011_20230827172315_001_006_000_000.jpg,C_007_014_20230827173525_001_007_000_000.jpg,4,1,0,0,1,1
C_006_011_20230830065228_001_006_000_000.jpg,C_008_015_20230831143330_001_008_000_000.jpg,4,1,0,0,1,1
C_006_011_20230830065228_001_006_000_000.jpg,C_009_019_20230831164757_001_009_000_000.jpg,4,1,0,0,0,0
C_006_011_20230831145112_001_006_000_000.jpg,C_011_025_20230831163725_001_011_000_000.jpg,4,1,0,0,0,0
C_006_011_20230904154859_001_006_000_000.jpg,C_010_022_20230904155115_001_010_000_000.jpg,4,1,0,0,1,1
C_006_011_20230904154859_001_006_000_000.jpg,C_010_023_20230904150743_001_010_000_000.jpg,2,1,0,1,1,0
C_006_011_20230904154859_001_006_000_000.jpg,C_011_024_20230904171915_001_011_000_000.jpg,2,1,0,0,0,0
C_006_011_20230904161119_001_006_000_000.jpg,C_011_024_20230904171915_001_011_000_000.jpg,4,1,0,1,1,0
C_006_012_20230906163353_001_006_000_000.jpg,C_006_012_20230906175043_001_006_000_000.jpg,4,1,1,1,1,0
C_006_012_20230906163353_001_006_000_000.jpg,C_010_021_20230906174809_001_010_000_000.jpg,4,1,0,1,0,1
C_006_012_20230906163353_001_006_000_000.jpg,C_012_029_20230906165126_001_012_000_000.jpg,4,1,0,0,0,0
C_006_012_20230906170152_001_006_000_000.jpg,C_009_020_20230906173439_001_009_000_000.jpg,2,1,0,0,1,1
C_006_012_20230906170152_001_006_000_000.jpg,C_010_021_20230906174809_001_010_000_000.jpg,4,1,0,0,0,0
C_006_012_20230906175043_001_006_000_000.jpg,C_012_028_20230904165149_001_012_000_000.jpg,2,1,0,0,1,1
C_007_012_20230912143808_001_007_000_000.jpg,C_007_014_20230828084412_001_007_000_000.jpg,4,1,0,1,0,1
C_007_012_20230912143808_001_007_000_000.jpg,C_009_018_20230912160822_001_009_000_000.jpg,0,1,0,1,0,1
C_007_013_20230912155731_001_007_000_000.jpg,C_009_020_20230902155721_001_009_000_000.jpg,4,1,0,1,1,0
C_007_013_20230912155731_001_007_000_000.jpg,C_010_023_20230912132715_001_010_000_000.jpg,4,1,0,1,0,1
C_007_013_20230912155731_001_007_000_000.jpg,C_011_024_20230902171213_001_011_000_000.jpg,2,1,0,1,1,0
C_007_014_20230828084412_001_007_000_000.jpg,C_009_018_20230912160822_001_009_000_000.jpg,4,1,0,0,0,0
C_007_014_20230906170251_001_007_000_000.jpg,C_008_018_20230831141907_001_008_000_000.jpg,4,1,0,0,0,0
C_008_015_20230831143330_001_008_000_000.jpg,C_009_019_20230831161950_001_009_000_000.jpg,4,1,0,1,0,1
C_008_015_20230831143330_001_008_000_000.jpg,C_010_023_20230831154905_001_010_000_000.jpg,4,1,0,0,1,1
C_008_015_20230831143330_001_008_000_000.jpg,C_011_025_20230831142801_001_011_000_000.jpg,4,1,0,1,0,1
C_008_015_20230831143330_001_008_000_000.jpg,C_011_025_20230831145352_001_011_000_000.jpg,4,1,0,0,0,0
C_008_017_20230904153838_001_008_000_000.jpg,C_012_029_20230831142949_001_012_000_000.jpg,4,1,0,0,0,0
C_008_017_20230904162244_001_008_000_000.jpg,C_012_027_20230831145944_001_012_000_000.jpg,4,1,0,0,1,1
C_008_018_20230902144433_001_008_000_000.jpg,C_009_020_20230902155721_001_009_000_000.jpg,4,1,0,1,1,0
C_009_019_20230829155551_001_009_000_000.jpg,C_012_027_20230901071858_001_012_000_000.jpg,4,1,0,0,1,1
C_009_019_20230831161950_001_009_000_000.jpg,C_009_021_20230904170650_001_009_000_000.jpg,4,1,0,1,0,1
C_009_019_20230831161950_001_009_000_000.jpg,C_010_023_20230831154905_001_010_000_000.jpg,2,1,0,1,1,0
C_009_019_20230911104240_001_009_000_000.jpg,C_009_020_20230912143844_001_009_000_000.jpg,4,1,0,0,0,0
C_009_019_20230911104240_001_009_000_000.jpg,C_012_029_20230831142949_001_012_000_000.jpg,4,1,0,0,0,0
C_009_020_20230902155721_001_009_000_000.jpg,C_010_023_20230912132715_001_010_000_000.jpg,4,1,0,0,1,1
C_009_020_20230902155721_001_009_000_000.jpg,C_011_024_20230902171213_001_011_000_000.jpg,4,1,0,0,0,0
C_009_020_20230906173439_001_009_000_000.jpg,C_011_025_20230906173826_001_011_000_000.jpg,4,1,0,0,1,1
C_009_020_20230906173439_001_009_000_000.jpg,C_011_026_20230905084127_001_011_000_000.jpg,4,1,0,0,1,1
C_010_022_20230825174158_001_010_000_000.jpg,C_012_029_20230831142949_001_012_000_000.jpg,4,1,0,0,0,0
C_010_022_20230904155115_001_010_000_000.jpg,C_011_024_20230904171915_001_011_000_000.jpg,4,1,0,0,1,1
C_010_023_20230829143457_001_010_000_000.jpg,C_010_023_20230912142226_001_010_000_000.jpg,4,1,1,0,1,1
C_010_023_20230831154905_001_010_000_000.jpg,C_011_025_20230831164736_001_011_000_000.jpg,4,1,0,0,1,1
C_010_023_20230904150743_001_010_000_000.jpg,C_011_024_20230904171915_001_011_000_000.jpg,2,1,0,1,1,0
C_010_023_20230912132715_001_010_000_000.jpg,C_011_024_20230902171213_001_011_000_000.jpg,4,1,0,0,1,1
C_011_024_20230831143224_001_011_000_000.jpg,C_011_025_20230831142801_001_011_000_000.jpg,4,1,0,0,0,0
C_011_025_20230831142801_001_011_000_000.jpg,C_011_025_20230831145352_001_011_000_000.jpg,4,1,1,1,0,1
